customer_id,total_transactions,burn_rate,days_since_join,customer_segment,dbscan_segment,avg_transactions,avg_burn_rate,avg_days_since_join,count,recommend_coupon
1,0.8555751995293276,0.0,1.147271563363732,4,0,1.3255995695917506,0.0,1.1166676538295885,88,No
2,-0.9045160585767668,0.0,-0.3338030573977203,3,1,-0.3636546823879147,0.0,-0.15150307580608346,144,Yes
3,-0.0244704295237196,0.0,-0.3709072232623078,3,2,-0.3636546823879147,0.0,-0.15150307580608346,144,Yes
4,-1.784561687629814,0.0,0.1547351264860156,5,3,-1.290437707382816,0.0,0.897249298162806,122,Yes
5,-0.4644932440502431,0.0,-0.3152509744654265,3,4,-0.3636546823879147,0.0,-0.15150307580608346,144,Yes
6,-0.4644932440502431,0.0,-0.0524297995912648,3,4,-0.3636546823879147,0.0,-0.15150307580608346,144,Yes
7,-0.4644932440502431,0.0,0.6247212274374577,1,4,-0.12829603744570814,0.0,1.079664160018707,178,Yes
8,0.8555751995293276,0.0,-1.2614072040124087,2,0,0.34710439163201157,0.0,-1.1687384045752967,135,No
10,1.2955980140558512,0.0,-0.6708325640010571,7,5,1.8033166462018404,0.0,-0.8612292612741487,78,No
11,-1.3445388731032903,0.0,1.5059451667214117,5,6,-1.290437707382816,0.0,0.897249298162806,122,Yes
12,1.7356208285823749,0.0,-0.1482822280747826,7,7,1.8033166462018404,0.0,-0.8612292612741487,78,No
13,2.1756436431088986,0.0,1.638901761069517,4,8,1.3255995695917506,0.0,1.1166676538295885,88,No
14,-0.4644932440502431,0.0,1.147271563363732,1,4,-0.12829603744570814,0.0,1.079664160018707,178,Yes
15,-1.784561687629814,0.0,1.6605458578238597,5,3,-1.290437707382816,0.0,0.897249298162806,122,Yes
16,-1.3445388731032903,0.0,-0.7295808266199874,0,6,-0.9999056197678312,0.0,-1.152905628075054,143,Yes
17,0.415552385002804,0.0,0.5876170615728702,6,9,0.7074487075104979,0.0,0.11610026070952277,101,No
18,-1.3445388731032903,0.0,-1.3046953975210942,0,6,-0.9999056197678312,0.0,-1.152905628075054,143,Yes
19,2.1756436431088986,0.0,0.1516431126639666,7,10,1.8033166462018404,0.0,-0.8612292612741487,78,No
20,0.415552385002804,0.0,-0.5749801355175392,2,9,0.34710439163201157,0.0,-1.1687384045752967,135,No
21,-0.0244704295237196,0.0,1.2740441300677396,1,2,-0.12829603744570814,0.0,1.079664160018707,178,Yes
22,0.8555751995293276,0.0,-1.1037144990879115,2,0,0.34710439163201157,0.0,-1.1687384045752967,135,No
23,-0.4644932440502431,0.0,-0.2101225045157618,3,4,-0.3636546823879147,0.0,-0.15150307580608346,144,Yes
24,-1.784561687629814,0.0,0.0681587394686446,5,3,-1.290437707382816,0.0,0.897249298162806,122,Yes
25,0.415552385002804,0.0,0.1021708915111832,6,9,0.7074487075104979,0.0,0.11610026070952277,101,No
26,-0.0244704295237196,0.0,-1.4871242130219828,2,2,0.34710439163201157,0.0,-1.1687384045752967,135,No
